P17_001,P17_002,P17_003,P17_004,lon,lat
練馬消防署平和台出張所,"13120","3",練馬区平和台4-9-3,139.6573680000,35.7564380000
西新井消防署,"13121","2",足立区伊興2-5-11,139.7796220000,35.7909750000
西新井消防署上沼田出張所,"13121","3",足立区江北3-40-24,139.7610130000,35.7760040000
西新井消防署大師前出張所,"13121","3",足立区栗原3-10-28,139.7827050000,35.7787820000
西新井消防署本木出張所,"13121","3",足立区本木南町24-14,139.7827890000,35.7637840000
千住消防署,"13121","2",足立区千住中居町9-14,139.7985569700,35.7488443500
千住消防署旭町出張所,"13121","3",足立区千住東2-21-7,139.8092890000,35.7466760000
千住消防署宮城出張所,"13121","3",足立区宮城1-6-5,139.7532920000,35.7577840000
足立消防署,"13121","2",足立区梅島2-1-1,139.8030370000,35.7748950000
足立消防署綾瀬出張所,"13121","3",足立区西綾瀬3-17-20,139.8179530000,35.7636460000
足立消防署神明出張所,"13121","3",足立区神明南1-13-9,139.8306450000,35.7901990000
足立消防署大谷田出張所,"13121","3",足立区東和4-23-7,139.8424780000,35.7754780000
足立消防署淵江出張所,"13121","3",足立区竹の塚7-1-18,139.7974810000,35.7991690000
金町消防署,"13122","2",葛飾区金町4-15-20,139.8651160000,35.7638970000
金町消防署亀有出張所,"13122","3",葛飾区亀有1-26-5,139.8462560000,35.7620910000
金町消防署柴又出張所,"13122","3",葛飾区柴又5-8-6,139.8786530000,35.7518230000
金町消防署水元出張所,"13122","3",葛飾区水元3-11-1,139.8636430000,35.7808110000
本田消防署,"13122","2",葛飾区東立石3-12-7,139.8441740000,35.7362060000
本田消防署奥戸出張所,"13122","3",葛飾区奥戸6-6-1,139.8685050000,35.7320400000
本田消防署上平井出張所,"13122","3",葛飾区東新小岩7-1-9,139.8529800000,35.7234290000
本田消防署青戸出張所,"13122","3",葛飾区青戸5-5-8,139.8526730000,35.7500930000
本田消防署南綾瀬出張所,"13122","3",葛飾区東堀切2-28-25,139.8374520000,35.7505930000
葛西消防署,"13123","2",江戸川区中葛西1-29-1,139.8693690000,35.6694640000
葛西消防署船堀出張所,"13123","3",江戸川区船堀6-11-17,139.8673970000,35.6784350000
葛西消防署南葛西出張所,"13123","3",江戸川区南葛西4-4-12,139.8739800000,35.6489100000
